City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
195,fale old settlement,-9.3852,-171.2468,28.44,75,11,4.96,TK,2023-06-05,18:30:35
196,nuku'alofa,-21.1333,-175.2,26.19,69,75,5.66,TO,2023-06-05,18:30:35
197,kapa'a,22.0752,-159.319,27.33,71,0,4.12,US,2023-06-05,18:30:35
198,ellsworth,44.5434,-68.4195,12.7,96,100,3.6,US,2023-06-05,18:21:44
199,alice,27.7523,-98.0697,29.19,65,0,3.09,US,2023-06-05,18:29:15
200,scottburgh,-30.2867,30.7532,14.73,63,98,3.12,ZA,2023-06-05,18:30:35
201,bathsheba,13.2167,-59.5167,27.34,89,75,3.6,BB,2023-06-05,18:30:36
202,badger,64.8,-147.5333,22.14,27,20,2.06,US,2023-06-05,18:30:36
203,lompoc,34.6391,-120.4579,20.43,82,100,4.63,US,2023-06-05,18:30:36
204,altay,47.8667,88.1167,21.86,41,0,2.53,CN,2023-06-05,18:30:36
205,pitimbu,-7.4706,-34.8086,25.33,80,25,3.74,BR,2023-06-05,18:30:36
206,bardai,11.65,7.2333,26.4,65,86,6.67,NG,2023-06-05,18:30:37
207,naha,26.2125,127.6811,27.15,78,40,7.2,JP,2023-06-05,18:30:37
208,hithadhoo,-0.6,73.0833,27.94,74,96,1.29,MV,2023-06-05,18:30:37
209,beipiao,41.7919,120.7792,23.04,33,4,6.08,CN,2023-06-05,18:30:37
210,altai,46.3722,96.2583,13.49,44,26,2.03,MN,2023-06-05,18:30:37
211,lorengau,-2.0226,147.2712,29.51,72,12,4.15,PG,2023-06-05,18:30:38
212,aracataca,10.5918,-74.1898,28.94,75,100,1.85,CO,2023-06-05,18:30:38
213,znamenskoye,57.1281,73.8282,20.83,68,39,1.19,RU,2023-06-05,18:30:38
214,alesund,62.4723,6.1549,11.06,82,100,5.66,NO,2023-06-05,18:30:38
215,totness,5.8833,-56.3167,25.66,89,67,4.04,SR,2023-06-05,18:30:38
216,dudinka,69.4058,86.1778,9.79,55,100,3.87,RU,2023-06-05,18:30:38
217,san miguel,13.4833,-88.1833,32.78,52,0,3.09,SV,2023-06-05,18:30:38
218,pangody,65.85,74.4859,10.83,83,33,6.43,RU,2023-06-05,18:30:39
219,westport,41.1415,-73.3579,22.83,62,100,4.12,US,2023-06-05,18:30:25
220,charters towers,-20.1,146.2667,23.23,63,0,5.9,AU,2023-06-05,18:30:39
221,st. john's,47.5649,-52.7093,7.38,96,100,2.06,CA,2023-06-05,18:30:03
222,uturoa,-16.7333,-151.4333,26.76,70,5,3.58,PF,2023-06-05,18:30:39
223,el higo,21.7667,-98.4667,32.07,41,58,6.8,MX,2023-06-05,18:30:39
224,rockland,41.1668,-74.0496,23.02,50,99,0.45,US,2023-06-05,18:30:40
225,carnarvon,-24.8667,113.6333,19.16,58,99,8.02,AU,2023-06-05,18:30:40
226,hasaki,35.7333,140.8333,25.12,75,100,6.27,JP,2023-06-05,18:30:40
227,avarua,-21.2078,-159.775,24.03,53,20,2.57,CK,2023-06-05,18:30:40
228,susuman,62.7833,148.1667,14.63,36,12,4.74,RU,2023-06-05,18:30:40
229,mora,11.0461,14.1401,30.15,50,94,0.95,CM,2023-06-05,18:30:40
230,egilsstadir,65.2653,-14.3948,7.95,71,75,4.63,IS,2023-06-05,18:30:40
231,paita,-5.0892,-81.1144,23.53,82,7,6.1,PE,2023-06-05,18:30:41
232,crookston,47.7741,-96.6081,30.95,48,40,4.63,US,2023-06-05,18:30:41
233,cabo san lucas,22.8909,-109.9124,33.61,37,0,5.66,MX,2023-06-05,18:29:43
234,jincheng,35.5022,112.8328,22.63,46,2,2.58,CN,2023-06-05,18:30:41
235,vorgashor,67.5833,63.95,9.13,67,14,7.16,RU,2023-06-05,18:30:41
